time,sim_impulse_response
               99160,      0,    -16
               99480,      0,    -20
               99800,      0,    -14
              100120,      0,     -8
              100440,      0,     -2
              100760,      0,     -2
              101080,      0,     -6
              101400,      0,    -10
              101720,      0,    -12
              102040,      0,    -10
              102360,      0,     -6
              102680,      0,     -2
              103000,      0,      0
              103320,      0,     -2
              103640,      0,     -4
              103960,      0,     -6
              104280,      0,     -4
              104600,      0,     -2
              104920,      0,      0
              105240,      0,      0
              105560,      0,      0
              105880,      0,      0
              106200,      0,      0
              106520,      0,      0
              106840,      0,      0
              107160,      0,      0
              107480,      0,      0
              107800,      0,      0
              108120,      0,      0
              108440,      0,      0
              108760,      0,      0
              109080,      0,      0
              109400,      0,      0
              109720,      0,      0
